epoch,totalAcc,d0,d1,d2,d3,d4,d5,d6,d7,d8,d9
1,0.557,0.7442557442557443,0.9201419698314108,0.7003027245206862,0.8081395348837209,0.16326530612244897,0.010428736964078795,0.7169625246548323,0.07570093457943926,0.5932203389830508,0.7392638036809815
2,0.7111,0.922077922077922,0.9609582963620231,0.7467204843592331,0.8265503875968992,0.47244897959183674,0.1332560834298957,0.8136094674556213,0.6514018691588785,0.7372881355932204,0.7321063394683026
3,0.7878,0.9310689310689311,0.9538598047914818,0.7941473259334006,0.8071705426356589,0.7959183673469388,0.4206257242178447,0.8550295857988166,0.7775700934579439,0.7860169491525424,0.6820040899795501
4,0.815,0.9310689310689311,0.9627329192546584,0.7891019172552977,0.8071705426356589,0.7969387755102041,0.5237543453070683,0.8905325443786982,0.8532710280373832,0.7976694915254238,0.7321063394683026
5,0.828,0.9310689310689311,0.9600709849157054,0.7820383451059536,0.8527131782945736,0.8326530612244898,0.5365005793742758,0.8994082840236687,0.8822429906542056,0.8146186440677966,0.7229038854805726
6,0.8436,0.9330669330669331,0.9582963620230701,0.8526740665993946,0.8352713178294574,0.7969387755102041,0.6442641946697567,0.8964497041420119,0.8794392523364486,0.7838983050847458,0.8057259713701431
7,0.8512,0.9400599400599401,0.9653948535936113,0.8183652875882946,0.8381782945736435,0.8846938775510204,0.6234067207415991,0.9220907297830375,0.8878504672897196,0.8294491525423728,0.7505112474437627
8,0.854,0.9270729270729271,0.9653948535936113,0.8314833501513622,0.8343023255813954,0.7744897959183673,0.7056778679026651,0.9181459566074951,0.8411214953271028,0.8294491525423728,0.876278118609407
9,0.8671,0.936063936063936,0.963620230700976,0.822401614530777,0.8633720930232558,0.8816326530612245,0.7265353418308227,0.9260355029585798,0.8775700934579439,0.809322033898305,0.8271983640081799
10,0.8703,0.9410589410589411,0.9716060337178349,0.8486377396569122,0.8313953488372093,0.8877551020408163,0.6964078794901506,0.9349112426035503,0.883177570093458,0.8442796610169492,0.8241308793456033
11,0.8765,0.936063936063936,0.968944099378882,0.8799192734611504,0.8323643410852714,0.9071428571428571,0.7346465816917729,0.928007889546351,0.8962616822429906,0.836864406779661,0.8098159509202454
12,0.8741,0.9370629370629371,0.9716060337178349,0.8688193743693239,0.8643410852713178,0.8775510204081632,0.6813441483198146,0.9270216962524654,0.888785046728972,0.823093220338983,0.8578732106339468
13,0.8792,0.954045954045954,0.9707187222715173,0.8466195761856711,0.8711240310077519,0.9061224489795918,0.7265353418308227,0.9240631163708086,0.8822429906542056,0.8432203389830508,0.8312883435582822
14,0.8808,0.952047952047952,0.9716060337178349,0.8486377396569122,0.8672480620155039,0.8918367346938776,0.7219003476245655,0.9368836291913215,0.8906542056074767,0.823093220338983,0.8660531697341514
